id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
172,Nuwara Eliya,Ambagamuwa Korale,Lakshapana,"Lakshapana, Nortonbridge",Landslide,1,3
173,Nuwara Eliya,Ambagamuwa Korale,Dehigasthenna,"77, Kadusirigama, Abathalawa, Ginigathhena",Landslide,1,7
174,Nuwara Eliya,Ambagamuwa Korale,Millagamula,"Sadasirigama, Millagamula, Pitawala",Landslide,1,6
175,Nuwara Eliya,Ambagamuwa Korale,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1,5
176,Nuwara Eliya,Ambagamuwa Korale,Homagama,"Homagama, Kalaweldeniya",Landslide,1,5
177,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Habbakanda, Ginigathhena",Landslide,2,10
178,Nuwara Eliya,Ambagamuwa Korale,Polpitiya,"Polpitiya, Pitawala",Landslide,1,1
179,Nuwara Eliya,Ambagamuwa Korale,Widulipura South,"Babaragala, Norton Bridge",Landslide,3,19
180,Nuwara Eliya,Ambagamuwa Korale,Koththallena,"Aluoya Janapadaya, Widulipura",Landslide,1,3
181,Nuwara Eliya,Ambagamuwa Korale,Kiriwaneliya,"3 Kanuwa, Lakshapana",Landslide,1,5
182,Nuwara Eliya,Ambagamuwa Korale,Lakshapana,"Weralugasthenna, Lakshapana",Landslide,1,4
183,Nuwara Eliya,Ambagamuwa Korale,Minuwandeniya,"Gowalwatta, Htigegama, Hatton",Landslide,1,4
184,Nuwara Eliya,Ambagamuwa Korale,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,1,5
185,Nuwara Eliya,Ambagamuwa Korale,Gonawala,"257/1, Kotahela Janapadaya, Ginigathhena",Landslide,1,6
186,Nuwara Eliya,Ambagamuwa Korale,Habbakanda,"Habbakanda, Ginigathhena",Landslide,1,4
187,Nuwara Eliya,Ambagamuwa Korale,Hitigegama,"Galapalhena, Hagarapitiya, Hatton",Landslide,1,4
188,Nuwara Eliya,Ambagamuwa Korale,Rampadeniya,"Hathlaga, Warakagahamula",Landslide,1,6
189,Nuwara Eliya,Ambagamuwa Korale,Widulipura south,"Babaragala, Norton Bridge",Landslide,1,4
190,Nuwara Eliya,Ambagamuwa Korale,Millagahamula,"Kadusirigama, Dillagahamula",Landslide,1,5
191,Nuwara Eliya,Ambagamuwa Korale,Kalaweldeniya,"Kalaweldeniya, Ginigathhena",Landslide,1,4
192,Nuwara Eliya,Ambagamuwa Korale,Waggama,"Mawussawatta, Lakshapana",Landslide,1,5
193,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Samanpura Janapadaya, Watawala",Landslide,1,5
194,Nuwara Eliya,Ambagamuwa Korale,Watawala,"Templestore Janapadaya, Watawala",Landslide,2,15
